sentence,cultural_context,csi_category,csi_hall_mapping,hall_level
"He observed that promotions are typically based on <CSI> merit </CSI> rather than personal connections, reflecting the value placed on fairness and <CSI> meritocracy </CSI> in the culture.","In British workplace culture, fairness and meritocracy are key principles, meaning that career advancements are usually earned through skills, qualifications, and performance rather than personal relationships or connections. ",Social Tradition,Competitiveness,Invisible
"He’s a <CSI> pub quiz enthusiast </CSI>, always eager to test his knowledge at the local bar.","Pub quizzes are a popular form of entertainment in British pubs, combining trivia and socializing.",Social Tradition,Rituals,Semi-visible
"When discussing a sensitive topic, he used <CSI> humour </CSI> to <CSI> criticise lightly </CSI>, knowing that this approach is often preferred in British culture to avoid direct confrontation.","In British culture, humour is often used to criticise lightly or address sensitive topics in a way that feels less confrontational and more socially acceptable.",Social Tradition,Customs,Semi-visible
"Walking through the small town, she admired the charming <CSI> wooden houses </CSI> that lined the streets.","Wooden houses symbolize the charm and history of small-town life in the U.S., often associated with rural and suburban areas.",Cultural Reference,Architecture,Visible
We’re decorating the house for <CSI> Halloween </CSI> this weekend.,"Halloween is widely celebrated in the West with decorations, costumes, and trick-or-treating.",Social Tradition,Rituals,Semi-visible
"He avoided giving someone the <CSI> middle finger </CSI> while gesturing, knowing it is considered a rude and insulting gesture in the U.S.",The middle finger is universally recognized as a sign of contempt or defiance in American culture and is considered highly offensive.,Cultural Reference,Appropriacy,Semi-visible
"He’s hosting a <CSI> Christmas dinner </CSI> with all the trimmings,roast turkey, stuffing, and cranberry sauce.",A traditional Christmas dinner in Western cultures often includes a festive meal with specific dishes like roast turkey and sides.,Social Tradition,Food and Drink,Visible
He steered conversation away from <CSI> gun laws </CSI> to maintain pleasant dinner atmosphere.,Gun legislation discussions create deep divisions in American social settings.,Social Etiquette,Communication,Invisible
The royal family is hosting a <CSI> garden party </CSI> at Buckingham Palace for charity.,Garden parties at royal residences are prestigious British social events for honored guests.,Social Tradition,Food and Drink,Visible
He was careful with language avoiding any <CSI> discriminatory remarks </CSI> given American <CSI> sensitivities </CSI>.,Discriminatory remarks face strong social consequences reflecting American equality values.,Social Etiquette,Appropriacy,Semi-visible
We always visit the <CSI> outlet malls </CSI> when traveling to different states.,"Outlet malls are shopping destinations when traveling to different states, reflecting shopping tourism as a common American travel activity and the search for bargains.",Social Tradition,Customs,Semi-visible
"In a team meeting, he <CSI> avoided interrupting </CSI> his manager, knowing that politeness in listening is highly valued in British culture.","Avoiding interrupting someone while they are speaking is important in British culture, as interrupting is considered impolite and attentive listening is a valued social norm.",Social Etiquette,Appropriacy,Semi-visible
The town gathers at the <CSI> football stadium </CSI> every Friday night during fall.,Friday night football at local stadiums unites American communities around high school sports.,Sports Tradition,Institutions,Visible
"Eggs are a symbol of <CSI> fertility </CSI> and tradition in many European cultures, especially during <CSI> Easter </CSI>.",Eggs represent new life and are central to European spring celebrations.,Social Tradition,Rituals,Semi-visible
"When discussing their future, she told her partner that she wanted to <CSI> focus on her career </CSI> before <CSI> having children </CSI>, knowing that many British women now wait until their 30s to start a family.","British women increasingly prioritize focusing on their career and personal growth before having children, with the average age of first childbirth now being 29.",Social Tradition,Time,Invisible
She <CSI> refrained from asking </CSI> about relationship status during initial conversation.,Refraining from personal status questions maintains British privacy boundaries.,Social Etiquette,Appropriacy,Semi-visible
He struck up a <CSI> friendly chat </CSI> with a stranger while waiting in line at the <CSI> coffee shop </CSI>.,"In American culture, it is common to initiate casual conversations with strangers in queues or shared spaces, reflecting openness and friendliness.",Social Etiquette,Styles of Discourse,Semi-visible
The couple chose to <CSI> cohabit </CSI> testing compatibility before <CSI> wedding plans </CSI>.,Cohabitation precedes marriage for many British couples assessing compatibility.,Social Tradition,Rituals,Semi-visible
They chose <CSI> long-term partnership </CSI> without <CSI> legal marriage </CSI> arrangements.,Long-term partnerships without marriage reflect British relationship diversity.,Social Tradition,Structure,Invisible
He practices <CSI> active listening </CSI> by asking follow-up questions during discussions.,Active listening through questions demonstrates engagement in American communication culture.,Workplace Culture,Communication,Invisible
She exhibits <CSI> self-direction </CSI> by independently identifying and pursuing opportunities.,Self-direction demonstrates American individualistic career management approaches.,Workplace Culture,Individualism,Invisible
She’s pulling an <CSI> all-nighter </CSI> to finish her presentation for tomorrow.,Pulling an all-nighter is a sign of commitment and hustle often seen in American work culture.,Workplace Culture,Action,Invisible
"She’s the first in her family to earn a <CSI> college degree </CSI>, something her mom, who didn’t finish high school, is incredibly proud of.","Earning a college degree represents educational attainment that has risen among women, challenging traditional gender norms in western societies. ",Cultural Reference,Competitiveness,Invisible
He checked if <CSI> children were welcome </CSI> before bringing his kids.,Checking about children demonstrates consideration in American social event planning.,Social Etiquette,Appropriacy,Semi-visible
"His traditional American <CSI> tattoo </CSI>, an eagle with a banner, symbolizes his love for freedom and independence.","American traditional tattoos, characterized by bold lines and classic designs, reflect the nation’s artistic and rebellious spirit.",Cultural Reference,Art,Visible
